index,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity,acres_unharvested,yield_tons_per_acre,price_per_ton,tons_never_harvested,tons_never_harvested_not_marketable,tons_never_harvested_inedible,tons_never_harvested_bad_weather,tons_never_harvested_pests_disease,tons_never_harvested_market_dynamics,tons_never_harvested_other
2202,2016,alabama,pecans,dry goods,nuts and seeds,8900.0,8900.0,4467000.0,1100.0,0.5,0.0,0.1,4060.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2203,2016,alabama,peanuts,dry goods,nuts and seeds,175000.0,172000.0,121982000.0,309600.0,0.5,3000.0,1.8,394.0,2700.0,756.0,756.0,113.4,1.7,0.4,1072.5
2204,2016,arizona,pecans,dry goods,nuts and seeds,15000.0,15000.0,67208000.0,12400.0,0.5,0.0,0.8,5420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2205,2016,arkansas,peanuts,dry goods,nuts and seeds,24000.0,23000.0,20424000.0,55200.0,0.5,1000.0,2.4,370.0,1200.0,336.0,336.0,50.4,0.8,0.2,476.7
2206,2016,california,pecans,dry goods,nuts and seeds,3500.0,3500.0,14656000.0,2885.0,0.5,0.0,0.8,5080.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2207,2016,california,walnuts,dry goods,nuts and seeds,315000.0,315000.0,1274650000.0,689000.0,0.5,0.0,2.2,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2208,2016,california,almonds,dry goods,nuts and seeds,970000.0,970000.0,5052460000.0,1070000.0,0.5,0.0,1.1,4721.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2209,2016,california,pistachios,dry goods,nuts and seeds,239000.0,239000.0,1506120000.0,448250.0,0.5,0.0,1.9,3360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2210,2016,florida,peanuts,dry goods,nuts and seeds,155000.0,146000.0,107076000.0,277400.0,0.5,9000.0,1.9,386.0,8550.0,2394.0,2394.0,359.1,5.4,1.1,3396.4
2211,2016,georgia,pecans,dry goods,nuts and seeds,120000.0,120000.0,272500000.0,54500.0,0.5,0.0,0.5,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2212,2016,georgia,peanuts,dry goods,nuts and seeds,720000.0,706000.0,512132000.0,1376700.0,0.5,14000.0,2.0,372.0,14000.0,3920.0,3920.0,588.0,8.8,1.8,5561.4
2213,2016,hawaii,macadamias,dry goods,nuts and seeds,16500.0,16500.0,42000000.0,21000.0,0.5,0.0,1.3,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2214,2016,louisiana,pecans,dry goods,nuts and seeds,12300.0,12300.0,6175000.0,2000.0,0.5,0.0,0.2,3087.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2215,2016,mississippi,peanuts,dry goods,nuts and seeds,39000.0,38000.0,27664000.0,76000.0,0.5,1000.0,2.0,364.0,1000.0,280.0,280.0,42.0,0.6,0.1,397.2
2216,2016,new mexico,pecans,dry goods,nuts and seeds,40000.0,40000.0,213120000.0,36000.0,0.5,0.0,0.9,5920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2217,2016,new mexico,peanuts,dry goods,nuts and seeds,8000.0,8000.0,4480000.0,11200.0,0.5,0.0,1.4,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2218,2016,north carolina,peanuts,dry goods,nuts and seeds,101000.0,99000.0,74437000.0,174735.0,0.5,2000.0,1.8,426.0,1800.0,504.0,504.0,75.6,1.1,0.2,715.0
2219,2016,oklahoma,pecans,dry goods,nuts and seeds,94000.0,94000.0,24660000.0,6000.0,0.5,0.0,0.1,4110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2220,2016,oklahoma,peanuts,dry goods,nuts and seeds,13000.0,12000.0,9368000.0,22200.0,0.5,1000.0,1.8,422.0,900.0,252.0,252.0,37.8,0.6,0.1,357.5
2221,2016,oregon,hazelnuts,dry goods,nuts and seeds,37000.0,37000.0,118800000.0,44000.0,0.5,0.0,1.2,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2222,2016,south carolina,peanuts,dry goods,nuts and seeds,110000.0,106000.0,65126000.0,169600.0,0.5,4000.0,1.6,384.0,3200.0,896.0,896.0,134.4,2.0,0.4,1271.2
2223,2016,texas,pecans,dry goods,nuts and seeds,100000.0,100000.0,94020000.0,19500.0,0.5,0.0,0.2,4821.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224,2016,texas,peanuts,dry goods,nuts and seeds,305000.0,205000.0,129839000.0,279825.0,0.5,100000.0,1.4,464.0,70000.0,19600.0,19600.0,2940.0,44.1,9.1,27806.8
2225,2016,virginia,peanuts,dry goods,nuts and seeds,21000.0,21000.0,15637000.0,38325.0,0.5,0.0,1.8,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2226,2016,california,olives,dry goods,"pickles, olives, and pickled vegetables",40000.0,40000.0,141761000.0,164900.0,0.5,0.0,4.1,859.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2227,2016,california,apples,produce,apples,14000.0,14000.0,51775000.0,127500.0,0.5,0.0,9.1,406.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2228,2016,connecticut,apples,produce,apples,1800.0,1800.0,12163000.0,6450.0,0.5,0.0,3.6,1885.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2229,2016,idaho,apples,produce,apples,2200.0,2200.0,9628000.0,27600.0,0.5,0.0,12.5,348.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230,2016,illinois,apples,produce,apples,1700.0,1700.0,15783000.0,9350.0,0.5,0.0,5.5,1688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2231,2016,maine,apples,produce,apples,2700.0,2700.0,16307000.0,16950.0,0.5,0.0,6.3,962.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2232,2016,maryland,apples,produce,apples,1800.0,1800.0,10615000.0,20300.0,0.5,0.0,11.3,522.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2233,2016,massachusetts,apples,produce,apples,3100.0,3100.0,13483000.0,15500.0,0.5,0.0,5.0,869.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2234,2016,michigan,apples,produce,apples,33000.0,33000.0,325195000.0,637500.0,0.5,0.0,19.3,510.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2235,2016,minnesota,apples,produce,apples,2900.0,2900.0,17052000.0,10750.0,0.5,0.0,3.7,1586.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2236,2016,new jersey,apples,produce,apples,2200.0,2200.0,33590000.0,15950.0,0.5,0.0,7.2,2106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2237,2016,new york,apples,produce,apples,43000.0,43000.0,345935000.0,625000.0,0.5,0.0,14.5,553.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2238,2016,north carolina,apples,produce,apples,5600.0,5600.0,26906000.0,57000.0,0.5,0.0,10.2,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2239,2016,ohio,apples,produce,apples,4000.0,4000.0,21656000.0,20950.0,0.5,0.0,5.2,1033.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2240,2016,oregon,apples,produce,apples,5000.0,5000.0,59779000.0,97700.0,0.5,0.0,19.5,611.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2241,2016,pennsylvania,apples,produce,apples,20000.0,20000.0,89203000.0,233500.0,0.5,0.0,11.7,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2242,2016,vermont,apples,produce,apples,1900.0,1900.0,20419000.0,15000.0,0.5,0.0,7.9,1361.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
